2025-06-23 11:41:52 | INFO | background_tasks:store_articles:41 - 新文章入库: 科技爱好者周刊（第 348 期）：李飞飞，从移民到 AI 明星...
2025-06-23 11:41:52 | INFO | background_tasks:run_full_update_cycle:257 - 本次抓取到 6 篇新文章
2025-06-23 11:41:52 | INFO | background_tasks:run_full_update_cycle:260 - 2. 开始AI评分...
2025-06-23 11:41:52 | INFO | background_tasks:ai_score_articles:104 - 开始AI评分 0 篇文章
2025-06-23 11:41:52 | INFO | background_tasks:ai_score_articles:149 - 完成AI评分 0 篇文章
2025-06-23 11:41:52 | INFO | background_tasks:run_full_update_cycle:264 - 3. 开始向量化高质量文章...
2025-06-23 11:41:52 | INFO | background_tasks:vectorize_high_quality_articles:336 - 开始向量化 0 篇高质量文章（评分≥0.2）
2025-06-23 11:41:52 | INFO | background_tasks:vectorize_high_quality_articles:380 - 完成向量化 0 篇高质量文章
2025-06-23 11:41:52 | INFO | background_tasks:run_full_update_cycle:268 - 4. 开始计算推荐分数...
2025-06-23 11:41:52 | INFO | background_tasks:calculate_final_scores_and_enqueue:157 - 用户意图向量不存在，正在基于AI人设生成初始向量...
2025-06-23 11:41:56 | INFO | background_tasks:generate_initial_user_vector:221 - 基于AI人设生成了初始用户意图向量
2025-06-23 11:41:56 | INFO | background_tasks:calculate_final_scores_and_enqueue:181 - 开始计算 0 篇文章的推荐分数
2025-06-23 11:41:56 | INFO | background_tasks:calculate_final_scores_and_enqueue:213 - 完成推荐计算，入队 0 篇文章
2025-06-23 11:41:56 | INFO | background_tasks:run_full_update_cycle:273 - 数据库统计: {'total_sources': 1, 'total_articles': 6, 'vectorized_articles': 0, 'scored_articles': 0, 'interacted_articles': 0, 'unread_feed': 0, 'has_user_profile': True}
2025-06-23 11:41:56 | INFO | background_tasks:run_full_update_cycle:275 - 本次任务完成 - 新文章: 6, 评分: 0, 向量化: 0, 入队: 0
2025-06-23 11:41:56 | INFO | background_tasks:run_full_update_cycle:282 - === 后台任务周期完成 2025-06-23 11:41:56.427329 ===
2025-06-23 11:45:08 | INFO | background_tasks:stop_scheduler:315 - 后台任务调度器已停止
2025-06-23 11:45:10 | INFO | __main__:main:36 - 启动 PersonaFlow API 服务...
2025-06-23 11:45:10 | INFO | __main__:startup_checks:15 - 正在进行启动前检查...
